document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
181,Grade 8,Maths,Chapter 4: Quadrilaterals,Maths Text Book Part 1 - Chapter 4: Quadrilaterals,40,0,False,97,100,90,100,0,0,56,0,2026-07-10T05:25:32.618665+00:00
180,Grade 8,Maths,Chapter 3: A Story of Numbers,Maths Text Book Part 1 - Chapter 3: A Story of Numbers,47,0,False,96,100,88,100,0,0,78,0,2026-07-10T05:25:33.496753+00:00
179,Grade 8,Maths,Chapter 2: Power Play,Maths Text Book Part 1 - Chapter 2: Power Play,46,0,False,96,99,89,100,0,1,77,0,2026-07-10T05:25:34.442536+00:00
178,Grade 8,Maths,Chapter 1: A Square and A Cube,Maths Text Book Part 1 - Chapter 1: A Square and A Cube,26,0,False,96,99,88,100,0,0,46,0,2026-07-10T05:25:34.867512+00:00
177,Grade 8,Social Science,Chapter 7: Factors of Production,Social Text Book - Chapter 7: Factors of Production,26,0,False,96,100,88,100,0,0,44,0,2026-07-10T05:25:35.225304+00:00
176,Grade 8,Social Science,Chapter 6: The Parliamentary System: Legislature and Executive,Social Text Book - Chapter 6: The Parliamentary System: Legislature and Executive,32,0,False,96,98,90,100,0,0,51,0,2026-07-10T05:25:35.789787+00:00
175,Grade 8,Social Science,Chapter 5: Universal Franchise and India’s Electoral System,Social Text Book - Chapter 5: Universal Franchise and India’s Electoral System,26,0,False,96,99,88,100,0,0,46,0,2026-07-10T05:25:36.310281+00:00
174,Grade 8,Social Science,Chapter 4: The Colonial Era in India,Social Text Book - Chapter 4: The Colonial Era in India,47,0,False,95,99,89,100,0,0,86,0,2026-07-10T05:25:37.188570+00:00
173,Grade 8,Social Science,Chapter 3: The Rise of the Marathas,Social Text Book - Chapter 3: The Rise of the Marathas,29,0,False,96,99,89,100,0,0,50,0,2026-07-10T05:25:37.669766+00:00
172,Grade 8,Social Science,Chapter 2: Reshaping India’s Political Map,Social Text Book - Chapter 2: Reshaping India’s Political Map,48,0,False,96,99,89,100,0,0,81,0,2026-07-10T05:25:38.579341+00:00
171,Grade 8,Social Science,Chapter 1: Natural Resources and Their Use,Social Text Book - Chapter 1: Natural Resources and Their Use,27,0,False,96,99,89,100,0,0,45,0,2026-07-10T05:25:39.062904+00:00
170,Grade 8,Science,"Chapter 13: Our Home: Earth, a Unique Life Sustaining Planet","Science Text Book - Chapter 13: Our Home: Earth, a Unique Life Sustaining Planet",35,0,False,96,100,89,100,0,0,57,0,2026-07-10T05:25:39.776897+00:00
169,Grade 8,Science,Chapter 12: How Nature Works in Harmony,Science Text Book - Chapter 12: How Nature Works in Harmony,33,0,False,96,100,88,100,0,0,59,0,2026-07-10T05:25:40.316396+00:00
